RANK,"MALE NAME","NUMBER OF MALES"
1,Liam,18798
2,Noah,18410
3,William,14967
4,James,14291
5,Logan,14014
6,Benjamin,13797
7,Mason,13549
8,Elijah,13344
9,Oliver,13193
10,Jacob,13178
11,Lucas,12996
12,Michael,12639
13,Alexander,12519
14,Ethan,12439
15,Daniel,11691
16,Matthew,11671
17,Aiden,11303
18,Henry,10461
19,Joseph,10437
20,Jackson,10399
21,Samuel,10395
22,David,10187
23,Sebastian,10172
24,Carter,9787
25,Wyatt,9688
26,Jayden,9534
27,John,9486
28,Owen,9338
29,Dylan,9295
30,Luke,9195
31,Gabriel,9131
32,Isaac,8851
33,Anthony,8833
34,Grayson,8679
35,Jack,8454
36,Julian,8422
37,Levi,8418
38,Christopher,8285
39,Joshua,8284
40,Andrew,8251
41,Lincoln,8179
42,Mateo,7757
43,Ryan,7674
44,Jaxon,7673
45,Nathan,7418
46,Isaiah,7212
47,Aaron,7196
48,Charles,7162
49,Thomas,7162
50,Caleb,7125
51,Josiah,7016
52,Christian,6996
53,Hunter,6722
54,Eli,6601
55,Jonathan,6503
56,Connor,6404
57,Landon,6343
58,Adrian,6219
59,Asher,6030
60,Cameron,5954
61,Leo,5950
62,Theodore,5950
63,Jeremiah,5840
64,Hudson,5781
65,Robert,5528
66,Easton,5502
67,Nolan,5389
68,Nicholas,5348
69,Ezra,5320
70,Colton,5278
71,Angel,5257
72,Brayden,5155
73,Jordan,5132
74,Dominic,5094
75,Austin,5039
76,Ian,5018
77,Adam,4919
78,Elias,4912
79,Jaxson,4838
80,Greyson,4835
81,Jose,4793
82,Ezekiel,4742
83,Carson,4740
84,Evan,4721
85,Maverick,4720
86,Bryson,4652
87,Jace,4631
88,Cooper,4604
89,Xavier,4489
90,Parker,4364
91,Roman,4265
92,Jason,4241
93,Santiago,4197
94,Chase,4168
95,Sawyer,4162
96,Gavin,4147
97,Leonardo,4125
98,Kayden,3984
99,Ayden,3945
100,Jameson,3922
101,Kevin,3818
102,Bentley,3808
103,Zachary,3800
104,Axel,3778
105,Everett,3776
106,Tyler,3762
107,Micah,3683
108,Vincent,3659
109,Weston,3645
110,Miles,3621
111,Wesley,3564
112,Nathaniel,3516
113,Harrison,3515
114,Brandon,3486
115,Declan,3462
116,Cole,3460
117,Luis,3382
118,Damian,3334
119,Braxton,3330
120,Silas,3319
121,Tristan,3290
122,Ryder,3252
123,Bennett,3176
124,George,3161
125,Emmett,3158
126,Kai,3140
127,Justin,3134
128,Max,3134
129,Diego,3095
130,Luca,3082
131,Ryker,3075
132,Carlos,3069
133,Maxwell,3069
134,Kingston,3059
135,Ivan,3036
136,Maddox,3032
137,Juan,2991
138,Ashton,2944
139,Jayce,2898
140,Rowan,2841
141,Kaiden,2811
142,Giovanni,2793
143,Eric,2764
144,Jesus,2745
145,Abel,2699
146,Calvin,2698
147,King,2677
148,Camden,2660
149,Blake,2613
150,Amir,2611
151,Alex,2592
152,Brody,2547
153,Malachi,2525
154,Emmanuel,2511
155,Jonah,2508
156,Jude,2507
157,Beau,2500
158,Antonio,2476
159,Alan,2440
160,Elliott,2435
161,Elliot,2428
162,Waylon,2420
163,Timothy,2405
164,Xander,2403
165,Victor,2400
166,Bryce,2384
167,Finn,2377
168,Brantley,2323
169,Abraham,2321
170,Edward,2315
171,Patrick,2295
172,Grant,2288
173,Hayden,2280
174,Richard,2279
175,Karter,2276
176,Miguel,2272
177,Joel,2255
178,Gael,2236
179,Tucker,2216
180,Rhett,2197
181,Avery,2189
182,Steven,2157
183,Graham,2108
184,Jasper,2101
185,Kaleb,2099
186,Jesse,2087
187,Dean,2077
188,Matteo,2076
189,Preston,2067
190,Zayden,2067
191,August,2052
192,Oscar,2043
193,Jeremy,2041
194,Alejandro,2031
195,Marcus,2023
196,Dawson,2008
197,Lorenzo,1999
198,Messiah,1978
199,Zion,1969
200,River,1963
201,Maximus,1958
202,Zane,1946
203,Mark,1940
204,Brooks,1929
205,Judah,1913
206,Nicolas,1912
207,Paxton,1904
208,Emiliano,1872
209,Kaden,1849
210,Bryan,1835
211,Kyle,1832
212,Myles,1801
213,Peter,1791
214,Charlie,1782
215,Kyrie,1776
216,Brian,1770
217,Thiago,1766
218,Kenneth,1759
219,Andres,1752
220,Lukas,1730
221,Aidan,1725
222,Jax,1711
223,Caden,1710
224,Milo,1698
225,Paul,1690
226,Beckett,1684
227,Brady,1684
228,Colin,1664
229,Bradley,1644
230,Omar,1641
231,Javier,1640
232,Jaden,1635
233,Knox,1634
234,Barrett,1609
235,Israel,1591
236,Matias,1560
237,Zander,1554
238,Jorge,1548
239,Derek,1543
240,Josue,1536
241,Cayden,1530
242,Holden,1527
243,Griffin,1520
244,Felix,1511
245,Leon,1510
246,Arthur,1509
247,Killian,1501
248,Remington,1501
249,Jake,1498
250,Clayton,1486
251,Sean,1473
252,Adriel,1465
253,Riley,1465
254,Archer,1455
255,Legend,1453
256,Erick,1432
257,Enzo,1426
258,Corbin,1418
259,Francisco,1401
260,Dallas,1393
261,Emilio,1393
262,Gunner,1386
263,Simon,1376
264,Andre,1365
265,Walter,1362
266,Damien,1346
267,Phoenix,1344
268,Chance,1337
269,Tobias,1331
270,Colt,1330
271,Stephen,1330
272,Tanner,1327
273,Manuel,1325
274,Kameron,1324
275,Emerson,1317
276,Amari,1316
277,Louis,1299
278,Finley,1292
279,Cody,1291
280,Iker,1285
281,Martin,1282
282,Nash,1280
283,Rafael,1280
284,Beckham,1269
285,Cash,1266
286,Karson,1261
287,Rylan,1256
288,Reid,1246
289,Ace,1231
290,Theo,1229
291,Eduardo,1228
292,Spencer,1205
293,Raymond,1200
294,Anderson,1198
295,Maximiliano,1196
296,Ronan,1193
297,Cristian,1181
298,Lane,1178
299,Titus,1174
300,Jett,1169
301,Bodhi,1165
302,Ricardo,1164
303,Travis,1164
304,Gideon,1155
305,Jaiden,1139
306,Fernando,1137
307,Mario,1135
308,Conor,1129
309,Keegan,1116
310,Ali,1114
311,Ellis,1107
312,Cesar,1100
313,Jayceon,1100
314,Cohen,1099
315,Walker,1099
316,Arlo,1087
317,Dante,1075
318,Hector,1071
319,Kyler,1065
320,Seth,1060
321,Garrett,1056
322,Donovan,1055
323,Tyson,1053
324,Jeffrey,1052
325,Desmond,1044
326,Jase,1044
327,Caiden,1043
328,Atlas,1041
329,Gage,1036
330,Major,1036
331,Devin,1034
332,Edwin,1032
333,Angelo,1023
334,Orion,1022
335,Conner,1013
336,Marco,1010
337,Jensen,1003
338,Julius,1002
339,Daxton,1000
340,Peyton,996
341,Collin,991
342,Dakota,990
343,Zayn,989
344,Jaylen,987
345,Prince,983
346,Johnny,968
347,Kayson,967
348,Cruz,966
349,Hendrix,963
350,Atticus,955
351,Troy,950
352,Kane,942
353,Sergio,940
354,Edgar,939
355,Kash,937
356,Marshall,936
357,Johnathan,934
358,Romeo,916
359,Shane,913
360,Warren,911
361,Trevor,904
362,Joaquin,903
363,Leonel,902
364,Wade,902
365,Dominick,901
366,Quinn,900
367,Odin,899
368,Erik,898
369,Muhammad,897
370,Jaxton,892
371,Dalton,890
372,Frank,887
373,Gregory,887
374,Nehemiah,885
375,Grady,884
376,Andy,878
377,Solomon,874
378,Malik,864
379,Clark,861
380,Reed,858
381,Rory,858
382,Harvey,851
383,Jay,848
384,Zayne,848
385,Jared,844
386,Noel,832
387,Shawn,825
388,Fabian,821
389,Ibrahim,815
390,Leland,814
391,Malcolm,813
392,Adonis,812
393,Ismael,811
394,Pedro,811
395,Malakai,807
396,Kason,806
397,Alexis,803
398,Porter,802
399,Ari,795
400,Sullivan,795
401,Raiden,793
402,Allen,789
403,Princeton,786
404,Russell,785
405,Winston,781
406,Roberto,778
407,Kendrick,775
408,Finnegan,762
409,Hayes,762
410,Lennox,762
411,Nasir,753
412,Landen,751
413,Nico,751
414,Emanuel,750
415,Kade,750
416,Moises,748
417,Hugo,746
418,Ruben,746
419,Adan,741
420,Abram,740
421,Zaiden,733
422,Augustus,732
423,Khalil,732
424,Cyrus,731
425,Marcos,728
426,Philip,728
427,Phillip,726
428,Esteban,724
429,Bruce,719
430,Braylen,718
431,Kamden,717
432,Albert,715
433,Lawson,711
434,Sterling,711
435,Kyson,709
436,Damon,707
437,Gunnar,705
438,Jamison,705
439,Franklin,704
440,Luka,703
441,Ezequiel,700
442,Pablo,698
443,Zachariah,698
444,Cade,695
445,Derrick,695
446,Jonas,690
447,Dexter,683
448,Kolton,681
449,Trenton,681
450,Remy,680
451,Tate,680
452,Hank,679
453,Drew,673
454,Kian,673
455,Dax,662
456,Mohamed,662
457,Rocco,662
458,Mathias,660
459,Bowen,658
460,Francis,658
461,Ronald,657
462,Matthias,655
463,Maximilian,650
464,Milan,650
465,Corey,649
466,Royce,649
467,Skyler,648
468,Kasen,642
469,Drake,640
470,Gerardo,637
471,Jayson,632
472,Sage,627
473,Moses,626
474,Benson,624
475,Braylon,623
476,Alijah,617
477,Rhys,616
478,Otto,615
479,Oakley,610
480,Armando,607
481,Jaime,606
482,Nixon,605
483,Saul,604
484,Scott,604
485,Brycen,601
486,Ariel,600
487,Donald,600
488,Enrique,600
489,Chandler,592
490,Asa,590
491,Eden,588
492,Davis,584
493,Keith,584
494,Rowen,583
495,Lawrence,582
496,Frederick,581
497,Leonidas,581
498,Aden,580
499,Julio,580
500,Darius,577
501,Johan,576
502,Danny,575
503,Deacon,575
504,Taylor,573
505,Cason,572
506,Nikolai,572
507,Royal,572
508,Alec,571
509,Armani,569
510,Omari,569
511,Kieran,567
512,Luciano,567
513,Rodrigo,566
514,Arjun,563
515,Raphael,559
516,Ahmed,558
517,Ronin,558
518,Brendan,557
519,Cullen,556
520,Raul,555
521,Brock,550
522,Alonzo,549
523,Pierce,546
524,Dillon,543
525,Casey,542
526,Uriel,538
527,Moshe,535
528,Dustin,534
529,Roland,534
530,Gianni,532
531,Landyn,529
532,Apollo,527
533,Emmitt,527
534,Kobe,527
535,Roy,527
536,Ryland,527
537,Aarav,526
538,Dorian,526
539,Duke,521
540,Sam,521
541,Quentin,520
542,Lewis,518
543,Tony,517
544,Uriah,516
545,Dennis,514
546,Braden,508
547,Isaias,507
548,Quinton,506
549,Niko,505
550,Ayaan,503
551,Cannon,503
552,Mathew,503
553,Kellan,502
554,Edison,495
555,Jerry,493
556,Izaiah,489
557,Gustavo,486
558,Jamari,485
559,Marvin,485
560,Mauricio,484
561,Ahmad,481
562,Justice,481
563,Trey,481
564,Mohammad,480
565,Sincere,479
566,Elian,478
567,Mohammed,478
568,Callen,477
569,Yusuf,477
570,Arturo,476
571,Keaton,475
