RANK,"MALE NAME","NUMBER OF MALES","FEMALE NAME","NUMBER OF FEMALES"
1,Liam,18798,Emma,19800
2,Noah,18410,Olivia,18703
3,William,14967,Ava,15958
4,James,14291,Isabella,15180
5,Logan,14014,Sophia,14883
6,Benjamin,13797,Mia,13470
7,Mason,13549,Charlotte,12937
8,Elijah,13344,Amelia,11833
9,Oliver,13193,Evelyn,10712
10,Jacob,13178,Abigail,10607
11,Lucas,12996,Harper,10487
12,Michael,12639,Emily,9781
13,Alexander,12519,Elizabeth,8955
14,Ethan,12439,Avery,8205
15,Daniel,11691,Sofia,8160
16,Matthew,11671,Ella,8046
17,Aiden,11303,Madison,7875
18,Henry,10461,Scarlett,7702
19,Joseph,10437,Victoria,7292
20,Jackson,10399,Aria,7149
21,Samuel,10395,Grace,7040
22,David,10187,Chloe,6944
23,Sebastian,10172,Camila,6766
24,Carter,9787,Penelope,6652
25,Wyatt,9688,Riley,6353
26,Jayden,9534,Layla,6303
27,John,9486,Lillian,6160
28,Owen,9338,Nora,6055
29,Dylan,9295,Zoey,6045
30,Luke,9195,Mila,5964
31,Gabriel,9131,Aubrey,5911
32,Isaac,8851,Hannah,5907
33,Anthony,8833,Lily,5837
34,Grayson,8679,Addison,5616
35,Jack,8454,Eleanor,5537
36,Julian,8422,Natalie,5534
37,Levi,8418,Luna,5344
38,Christopher,8285,Savannah,5238
39,Joshua,8284,Brooklyn,5186
40,Andrew,8251,Leah,5175
41,Lincoln,8179,Zoe,5158
42,Mateo,7757,Stella,5055
43,Ryan,7674,Hazel,5023
44,Jaxon,7673,Ellie,5005
45,Nathan,7418,Paisley,4940
46,Isaiah,7212,Audrey,4825
47,Aaron,7196,Violet,4719
48,Charles,7162,Skylar,4718
49,Thomas,7162,Claire,4693
50,Caleb,7125,Bella,4638
51,Josiah,7016,Aurora,4591
52,Christian,6996,Lucy,4587
53,Hunter,6722,Anna,4544
54,Eli,6601,Samantha,4318
55,Jonathan,6503,Caroline,4283
56,Connor,6404,Genesis,4254
57,Landon,6343,Aaliyah,4174
58,Adrian,6219,Kennedy,4152
59,Asher,6030,Kinsley,4044
60,Cameron,5954,Maya,4028
61,Leo,5950,Allison,4027
62,Theodore,5950,Sarah,4009
63,Jeremiah,5840,Madelyn,3953
64,Hudson,5781,Adeline,3920
65,Robert,5528,Alexa,3891
66,Easton,5502,Gabriella,3879
67,Nolan,5389,Ariana,3876
68,Nicholas,5348,Elena,3873
69,Ezra,5320,Naomi,3841
70,Colton,5278,Alice,3816
71,Angel,5257,Sadie,3710
72,Brayden,5155,Hailey,3699
73,Jordan,5132,Eva,3629
74,Dominic,5094,Autumn,3594
75,Austin,5039,Emilia,3589
76,Ian,5018,Quinn,3589
77,Adam,4919,Nevaeh,3584
78,Elias,4912,Ruby,3566
79,Jaxson,4838,Serenity,3559
80,Greyson,4835,Piper,3555
81,Jose,4793,Willow,3551
82,Ezekiel,4742,Everly,3516
83,Carson,4740,Cora,3441
84,Evan,4721,Kaylee,3403
85,Maverick,4720,Lydia,3327
86,Bryson,4652,Aubree,3316
87,Jace,4631,Arianna,3276
88,Cooper,4604,Eliana,3269
89,Xavier,4489,Peyton,3250
90,Parker,4364,Melanie,3232
91,Roman,4265,Gianna,3189
92,Jason,4241,Isabelle,3157
93,Santiago,4197,Julia,3116
94,Chase,4168,Valentina,3037
95,Sawyer,4162,Nova,3036
96,Gavin,4147,Clara,3035
97,Leonardo,4125,Vivian,3023
98,Kayden,3984,Reagan,3001
99,Ayden,3945,Madeline,2952
100,Jameson,3922,Mackenzie,2950
101,Kevin,3818,Brielle,2891
102,Bentley,3808,Delilah,2882
103,Zachary,3800,Isla,2874
104,Axel,3778,Katherine,2853
105,Everett,3776,Rylee,2853
106,Tyler,3762,Sophie,2831
107,Micah,3683,Josephine,2813
108,Vincent,3659,Ivy,2770
109,Weston,3645,Liliana,2757
110,Miles,3621,Jade,2732
111,Wesley,3564,Maria,2707
112,Nathaniel,3516,Hadley,2706
113,Harrison,3515,Taylor,2699
114,Brandon,3486,Kylie,2695
115,Declan,3462,Emery,2692
116,Cole,3460,Adalynn,2659
117,Luis,3382,Faith,2620
118,Damian,3334,Annabelle,2614
119,Braxton,3330,Natalia,2609
120,Silas,3319,Alexandra,2600
121,Tristan,3290,Ximena,2542
122,Ryder,3252,Ashley,2524
123,Bennett,3176,Brianna,2511
124,George,3161,Raelynn,2448
125,Emmett,3158,Bailey,2423
126,Kai,3140,Mary,2402
127,Justin,3134,Athena,2372
128,Max,3134,Andrea,2319
129,Diego,3095,Leilani,2272
130,Luca,3082,Lyla,2264
131,Ryker,3075,Jasmine,2263
132,Carlos,3069,Margaret,2253
133,Maxwell,3069,Alyssa,2236
134,Kingston,3059,Adalyn,2203
135,Ivan,3036,Arya,2163
136,Maddox,3032,Norah,2153
137,Juan,2991,Khloe,2147
138,Ashton,2944,Kayla,2118
139,Jayce,2898,Eden,2090
140,Rowan,2841,Eliza,2074
141,Kaiden,2811,Rose,2071
142,Giovanni,2793,Ariel,2065
143,Eric,2764,Melody,2059
144,Jesus,2745,Alexis,2054
145,Abel,2699,Isabel,2028
146,Calvin,2698,Sydney,2011
147,King,2677,Juliana,1995
148,Camden,2660,Iris,1982
149,Blake,2613,Lauren,1982
150,Amir,2611,Emerson,1972
151,Alex,2592,London,1966
152,Brody,2547,Morgan,1921
153,Malachi,2525,Lilly,1919
154,Emmanuel,2511,Charlie,1908
155,Jonah,2508,Aliyah,1906
156,Jude,2507,Valeria,1888
157,Beau,2500,Sara,1882
158,Antonio,2476,Arabella,1881
159,Alan,2440,Finley,1862
160,Elliott,2435,Trinity,1855
161,Elliot,2428,Ryleigh,1851
162,Waylon,2420,Jordyn,1839
163,Timothy,2405,Jocelyn,1835
164,Xander,2403,Kimberly,1832
165,Victor,2400,Esther,1828
166,Bryce,2384,Molly,1825
167,Finn,2377,Valerie,1818
168,Brantley,2323,Cecilia,1809
