RANK,"FEMALE NAME","NUMBER OF FEMALES"
1,Emma,19800
2,Olivia,18703
3,Ava,15958
4,Isabella,15180
5,Sophia,14883
6,Mia,13470
7,Charlotte,12937
8,Amelia,11833
9,Evelyn,10712
10,Abigail,10607
11,Harper,10487
12,Emily,9781
13,Elizabeth,8955
14,Avery,8205
15,Sofia,8160
16,Ella,8046
17,Madison,7875
18,Scarlett,7702
19,Victoria,7292
20,Aria,7149
21,Grace,7040
22,Chloe,6944
23,Camila,6766
24,Penelope,6652
25,Riley,6353
26,Layla,6303
27,Lillian,6160
28,Nora,6055
29,Zoey,6045
30,Mila,5964
31,Aubrey,5911
32,Hannah,5907
33,Lily,5837
34,Addison,5616
35,Eleanor,5537
36,Natalie,5534
37,Luna,5344
38,Savannah,5238
39,Brooklyn,5186
40,Leah,5175
41,Zoe,5158
42,Stella,5055
43,Hazel,5023
44,Ellie,5005
45,Paisley,4940
46,Audrey,4825
47,Violet,4719
48,Skylar,4718
49,Claire,4693
50,Bella,4638
51,Aurora,4591
52,Lucy,4587
53,Anna,4544
54,Samantha,4318
55,Caroline,4283
56,Genesis,4254
57,Aaliyah,4174
58,Kennedy,4152
59,Kinsley,4044
60,Maya,4028
61,Allison,4027
62,Sarah,4009
63,Madelyn,3953
64,Adeline,3920
65,Alexa,3891
66,Gabriella,3879
67,Ariana,3876
68,Elena,3873
69,Naomi,3841
70,Alice,3816
71,Sadie,3710
72,Hailey,3699
73,Eva,3629
74,Autumn,3594
75,Emilia,3589
76,Quinn,3589
77,Nevaeh,3584
78,Ruby,3566
79,Serenity,3559
80,Piper,3555
81,Willow,3551
82,Everly,3516
83,Cora,3441
84,Kaylee,3403
85,Lydia,3327
86,Aubree,3316
87,Arianna,3276
88,Eliana,3269
89,Peyton,3250
90,Melanie,3232
91,Gianna,3189
92,Isabelle,3157
93,Julia,3116
94,Valentina,3037
95,Nova,3036
96,Clara,3035
97,Vivian,3023
98,Reagan,3001
99,Madeline,2952
100,Mackenzie,2950
101,Brielle,2891
102,Delilah,2882
103,Isla,2874
104,Katherine,2853
105,Rylee,2853
106,Sophie,2831
107,Josephine,2813
108,Ivy,2770
109,Liliana,2757
110,Jade,2732
111,Maria,2707
112,Hadley,2706
113,Taylor,2699
114,Kylie,2695
115,Emery,2692
